annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
,,,1.48,0,"
                        N/A
                    ",-0.58,"
                        N/A
                    ","457,836",60.19,41.97,,Technology,3111035054,65,,52.32,52.64,"216,288",CSOD,52.85,52.08
2.92,,,1.02,1.43,"
                        2/14/2019
                    ",12.16,"
                        2/8/2019
                    ","26,720,185",233.47,142,17.87,Technology,964416218400,217.5,16.82,203.86,204.53,"19,439,545",AAPL,204.94,202.34
.40,,,1.51,0.24,"
                        3/29/2019
                    ",1.24,"
                        3/14/2019
                    ","803,275",174.87,78.75,77.87,Capital Goods,7927733905,145,135.71,168.98,168.28,"479,666",OLED,169.085,166.20
2.32,,,0.59,4.11,"
                        3/29/2019
                    ",0.63,"
                        3/7/2019
                    ","264,875",57.92,42.40,64.14,Consumer Services,2624092364,50,89.76,56.44,56.55,"142,104",CCOI,56.80,55.91
1,,,0.88,2.46,"
                        4/15/2019
                    ",3.24,"
                        3/29/2019
                    ","224,553",47.95,32.56,,Finance,2631261951,,12.38,40.57,40.1,"91,523",IBOC,40.58,39.88
.80,,,0.61,2.43,"
                        2/22/2019
                    ",2.51,"
                        2/7/2019
                    ","361,984",35.25,24.67,12.84,Finance,2634532993,33,12.94,32.87,32.48,"338,372",WAFD,32.89,32.24
,,,0.52,0,"
                        N/A
                    ",-2.02,"
                        N/A
                    ","1,133,497",45.35,24.27,13.54,Health Care,2621549755,38,,29.51,29.64,"587,032",ACHC,29.96,29.0889
,,,0,0,"
                        N/A
                    ",-2.25,"
                        N/A
                    ",63,48.05,39.1672,,Consumer Services,2649080901,,,43.18,46.21,100,LEXEB,46.21,46.21
,,,1.05,0,"
                        N/A
                    ",2.55,"
                        N/A
                    ","410,530",95.66,56.14,29.75,Capital Goods,2679121109,95,33.11,87.16,84.43,"1,168,825",GTLS,86.945,80.80
,,,0.85,0,"
                        N/A
                    ",0.02,"
                        N/A
                    ","222,522",43.99,25.28,81.76,Technology,2694072087,40,"1,901.5",36.79,38.03,"112,112",ALTR,38.10,36.67
,,,1.37,0,"
                        N/A
                    ",2.08,"
                        N/A
                    ","1,976,188",50.11,21.629,9.12,Consumer Services,2717555446,42,17.21,35.38,35.8,"822,747",CAR,35.88,35.1538
1.24,,,0.76,2.98,"
                        2/21/2019
                    ",2.77,"
                        2/8/2019
                    ","204,870",47.05,34.61,13.32,Finance,2698321838,47,14.95,41.56,41.4,"137,803",FIBK,41.81,41.147
1.76,,,0.76,2.09,"
                        4/5/2019
                    ",4.65,"
                        3/22/2019
                    ","151,988",95,66.1183,15.12,Finance,2743281843,85,17.2,84.36,79.97,"282,489",INDB,84.94,78.85
,,,1.97,0,"
                        N/A
                    ",1.88,"
                        N/A
                    ","1,186,928",86.582,39.07,,Health Care,10053212851,60,38.64,72.99,72.64,"1,130,168",IONS,75.63,71.67
,,,1.28,0,"
                        N/A
                    ",-0.29,"
                        N/A
                    ","2,265,913",72.94,24.76,,Technology,7977692453,58.5,,62.73,64.26,"1,234,637",ZS,64.48,62.4001
,,,1.43,0,"
                        N/A
                    ",-5.42,"
                        N/A
                    ","1,436,539",176.50,74.51,,Health Care,8112331359,201,,116.64,113.79,"1,198,149",SRPT,117.39,112.3556
,,,0.99,0,"
                        N/A
                    ",0.15,"
                        N/A
                    ","857,781",23.95,12.65,87.94,Consumer Services,8170469613,20,108.07,15.83,16.21,"942,029",ANGI,16.23,15.74
2.72,,,0.44,6.83,"
                        3/22/2019
                    ",1.58,"
                        3/7/2019
                    ","1,401,381",39.99,31.19,11.86,Consumer Services,8452465469,42,24.92,39.84,39.38,"1,232,090",GLPI,39.81,39.07
,,,0.25,0,"
                        N/A
                    ",-0.65,"
                        N/A
                    ","111,370",37.32,26.633,,Consumer Services,8415938490,35,,36.78,36.43,"47,898",FWONA,36.78,36.35
,,,0.11,0,"
                        N/A
                    ",-0.65,"
                        N/A
                    ","1,051,874",39.35,27.51,,Consumer Services,8663126363,42,,37.65,37.5,"397,516",FWONK,37.70,36.66
1.20,,,0.86,2.54,"
                        2/21/2019
                    ",4.10,"
                        2/13/2019
                    ","2,353,567",59.19,38.08,10.65,Finance,8695517438,54,11.39,47.3,46.71,"2,964,428",ZION,47.34,46.65
.66,,,0.65,1.13,"
                        1/8/2019
                    ",3.14,"
                        12/26/2018
                    ","654,168",71.15,42.27,18.88,Finance,8672732625,62,17.97,58.34,56.43,"1,108,218",SEIC,58.01,56.41
,,,0.86,0,"
                        N/A
                    ",29.46,"
                        N/A
                    ","80,030",474.45,299,13.90,Finance,8845890783,376,15.99,470.48,471.02,"62,889",CACC,472.05,466.57
,,,1.27,0,"
                        N/A
                    ",-7.56,"
                        N/A
                    ","744,516",124.215,60.27,,Health Care,8851312978,122,,82.07,83.16,"712,807",ALNY,83.83,80.485
,,,1.11,0,"
                        N/A
                    ",3.49,"
                        N/A
                    ","1,941,383",91.35,56.58,17.93,Health Care,9177543714,67,17.59,61.5,61.4,"1,114,644",HSIC,62.69,61.2484
,,,1.2,0,"
                        N/A
                    ",0.46,"
                        N/A
                    ","1,224,702",86.50,54.735,15.24,Technology,9333158826,70,165.24,76.68,76.01,"1,185,515",QRVO,76.86,75.955
,,,1.5,0,"
                        N/A
                    ",-8.39,"
                        N/A
                    ","2,243,619",68.35,35.06,,Technology,9196687000,65,,52.79,54.13,"1,043,364",DOCU,54.3659,52.50
