annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
,55,55,1.48,0,"
                        N/A
                    ",-0.58,"
                        N/A
                    ","457,836",60.19,41.97,,Technology,3111035054,65,,52.32,52.64,"216,288",CSOD,52.85,52.08
.80,35.01,25.30,0.61,2.43,"
                        2/22/2019
                    ",2.51,"
                        2/7/2019
                    ","361,984",35.25,24.67,12.84,Finance,2634532993,33,12.94,32.87,32.48,"338,372",WAFD,32.89,32.24
1,,,0.88,2.46,"
                        4/15/2019
                    ",3.24,"
                        3/29/2019
                    ","224,553",47.95,32.56,,Finance,2631261951,,12.38,40.57,40.1,"91,523",IBOC,40.58,39.88
,,,0,0,"
                        N/A
                    ",-2.25,"
                        N/A
                    ",63,48.05,39.1672,,Consumer Services,2649080901,,,43.18,46.21,100,LEXEB,46.21,46.21
1.24,34.86,34.86,0.76,2.98,"
                        2/21/2019
                    ",2.77,"
                        2/8/2019
                    ","204,870",47.05,34.61,13.32,Finance,2698321838,47,14.95,41.56,41.4,"137,803",FIBK,41.81,41.147
,36.89,35.75,1.37,0,"
                        N/A
                    ",2.08,"
                        N/A
                    ","1,976,188",50.11,21.629,9.12,Consumer Services,2717555446,42,17.21,35.38,35.8,"822,747",CAR,35.88,35.1538
,85,80.88,1.05,0,"
                        N/A
                    ",2.55,"
                        N/A
                    ","410,530",95.66,56.14,29.75,Capital Goods,2679121109,95,33.11,87.16,84.43,"1,168,825",GTLS,86.945,80.80
,37.40,37.40,0.85,0,"
                        N/A
                    ",0.02,"
                        N/A
                    ","222,522",43.99,25.28,81.76,Technology,2694072087,40,"1,901.5",36.79,38.03,"112,112",ALTR,38.10,36.67
.56,32,32,0.51,1.67,"
                        3/29/2019
                    ",1.50,"
                        3/18/2019
                    ","583,745",39.30,27.88,18.52,Consumer Non-Durables,2793939608,37,21.76,33.52,32.57,"364,756",SHOO,33.43,32.55
1.76,86.30,76,0.76,2.09,"
                        4/5/2019
                    ",4.65,"
                        3/22/2019
                    ","151,988",95,66.1183,15.12,Finance,2743281843,85,17.2,84.36,79.97,"282,489",INDB,84.94,78.85
